train_losses_dice,train_losses_dice_hd,valid_losses_dice,valid_losses_dice_hd
0.048007026,0.09202745,0.10945225,0.13867916
0.03917639,0.058358718,0.122023106,0.10833863
0.045011014,0.05290512,0.124873996,0.11818089
0.03377086,0.07666822,0.112675905,0.13200259
0.04314351,0.05583249,0.11598897,0.12288634
0.035329133,0.054332674,0.123312056,0.12360204
0.029281467,0.051420216,0.111736536,0.10629575
0.03309855,0.05842453,0.1082837,0.1332392
0.04016374,0.049930114,0.12983525,0.10868945
0.041592047,0.07580894,0.11131984,0.13847157
0.03511709,0.05277825,0.1256066,0.104989745
0.02842936,0.044345737,0.11607665,0.117894344
0.06458704,0.054386474,0.118887484,0.11295069
0.036596954,0.051557116,0.13015664,0.11796491
0.031030864,0.042550165,0.10752922,0.11470741
0.04414825,0.058080807,0.1237452,0.12278215
0.02682966,0.0580102,0.10753572,0.12244589
0.025076374,0.03940401,0.118371844,0.11790922
0.036605403,0.045499343,0.117631435,0.11473204
0.02344957,0.06217611,0.1104632,0.12573057
0.023744255,0.04626035,0.11883712,0.1175446
0.034172043,0.03805702,0.114450336,0.107395895
0.020459056,0.037036866,0.11523199,0.11821755
0.020554751,0.057553213,0.114901185,0.12928346
0.03434947,0.03700757,0.11454338,0.10891494
0.024331436,0.037983503,0.121341944,0.11944548
0.024089277,0.044644155,0.11453503,0.114307754
0.025577903,0.04699993,0.11660224,0.11745944
0.032541603,0.03492979,0.120951,0.120327085
0.02380684,0.038196005,0.11525571,0.112308286
0.023064524,0.034805767,0.120607436,0.11248321
0.026590928,0.060365856,0.10578328,0.13139127
0.020682946,0.03401309,0.12130779,0.10905813
0.024919793,0.039132148,0.11359441,0.11818557
0.018546298,0.043347415,0.11317867,0.120889485
0.016744196,0.046018723,0.115992546,0.1146408
0.01844643,0.03473588,0.11134666,0.11740708
0.020440266,0.03605633,0.11958504,0.10801614
0.027840704,0.056298174,0.115020335,0.12990429
0.017659217,0.036853146,0.11786163,0.10796782
0.02894397,0.033375546,0.13317001,0.10904808
0.05505377,0.047242515,0.12243676,0.13356316
0.024363086,0.03070816,0.11918795,0.1107734
0.034108683,0.025535386,0.124488294,0.10707212
0.037229,0.036812354,0.12181789,0.12387019
0.017293632,0.032116298,0.11380112,0.10834486
0.020251796,0.026029756,0.11398816,0.11906031
0.027537316,0.023689073,0.12045056,0.10627442
0.014770538,0.03768534,0.113788486,0.11799783
0.01920934,0.027564224,0.11773604,0.11384193
0.019588336,0.026196025,0.11178166,0.105457336
0.014098316,0.02211154,0.11741662,0.11223564
0.017815307,0.04838322,0.114901066,0.121090434
0.015222877,0.024161683,0.11417496,0.10528366
0.011724949,0.028212868,0.11848444,0.11381525
0.01997824,0.05035509,0.11423558,0.12144452
