sizes_loss_2D,dice_minimum_2D,dice_std_2D,dice_minimum_gpu_2D,dice_std_gpu_2D,hausdorff_minimum_2D,hausdorff_std_2D,hausdorff_minimum_gpu_2D,hausdorff_std_gpu_2D
65536.0,70700.0,219322.42408308928,69500.0,217766.9791945719,53300.0,136217.0265103946,212400.0,359654.5127670379
70756.0,73200.0,230318.32383390007,73300.0,230383.03890280836,57800.0,139274.3914381845,206400.0,399899.99493610964
76176.0,83800.0,240279.46009236365,82900.0,234716.56174202025,64400.0,142278.15883181777,197900.0,412109.60669836303
81796.0,88700.0,239886.3220744969,89500.0,236747.66729712609,68800.0,144474.4676285037,224100.0,408322.5138248285
87616.0,94600.0,258227.92829131015,94700.0,249164.62476359538,72200.0,147191.1194132574,224500.0,418362.93816777685
93636.0,102600.0,260208.92482230262,101300.0,257726.77887318833,78100.0,153136.00119794873,251900.0,415823.9135899309
100489.0,107900.0,268377.7206699409,107800.0,276294.7362579838,83600.0,160239.38209248346,241400.0,909937.1274693132
106929.0,112600.0,282073.6085865284,113500.0,283893.96908929263,88800.0,172341.46966127018,295800.0,2.842630806919428e6
113569.0,145500.0,333811.14619119494,123600.0,291659.8441533373,94600.0,173421.50605052404,184900.0,367174.2031704017
120409.0,130400.0,295630.32476062205,130100.0,303132.3205418895,100200.0,175602.3929070418,197600.0,340034.6124599678
127449.0,161900.0,344001.1386721967,139300.0,308827.0783249757,106300.0,185018.05742372607,214700.0,356188.27021012246
134689.0,149700.0,322051.594487441,148100.0,316349.16332202294,114000.0,184338.09518353394,237700.0,406630.2504959777
142884.0,159300.0,317927.4993863516,160900.0,321113.0433955553,121400.0,189667.14480757972,122400.0,399118.5287530471
150544.0,168100.0,329735.1355147276,170700.0,329557.3631870575,127100.0,191672.19782078924,135400.0,325935.6110910032
158404.0,177200.0,332546.18623031187,177900.0,332787.3413729847,133700.0,192949.43361129487,135200.0,319446.797120404
166464.0,182900.0,339110.8540447012,183400.0,342625.29983351816,140800.0,199646.6302957052,135100.0,313503.73807251634
174724.0,195700.0,346953.59458473005,195300.0,346932.91219727846,146800.0,205317.46103104894,136300.0,322887.85037439794
184041.0,203700.0,349942.76129844855,203000.0,350724.12960677984,157000.0,207946.28928901517,132200.0,319409.368829355
192721.0,218200.0,371630.445725477,216700.0,359170.83783383924,163800.0,213714.36695739924,138000.0,234619.54274454896
201601.0,224500.0,368409.8794425409,225200.0,374975.850749683,172200.0,219387.00305085222,140400.0,321371.81086013315
210681.0,239800.0,385092.78278593696,239200.0,381969.4916068547,180600.0,224713.26430607372,140300.0,331903.32026500197
219961.0,252900.0,395325.54723371076,252400.0,397344.0209399509,189700.0,227978.88969252934,138600.0,319030.5153964447
229441.0,268500.0,403962.1292447407,268400.0,408276.9786533277,201000.0,235215.81328920575,140100.0,322710.1952066718
240100.0,276200.0,402374.2479568062,291800.0,445674.73257187224,211000.0,253195.68697122385,142600.0,341653.22303506674
250000.0,298700.0,422847.99374125584,301700.0,468219.57950489176,221800.0,251269.7076999873,140800.0,323055.61010123
260100.0,313900.0,429170.3744707733,311400.0,428143.6374368617,256300.0,267016.98098745244,142300.0,323520.1726579198
