train_losses_dice,train_losses_dice_hd,valid_losses_dice,valid_losses_dice_hd
0.02937907,0.021027168,0.13100064,0.094332226
0.024716258,0.020496175,0.1286692,0.094492
0.021507367,0.019823898,0.12357426,0.09494837
0.026788592,0.020111617,0.13202292,0.09501526
0.031936586,0.020043086,0.13807797,0.09442355
0.020926833,0.018627021,0.12848836,0.09573272
0.021575764,0.018543046,0.121952474,0.09617088
0.032546178,0.021971675,0.13943732,0.09433875
0.024623245,0.019663177,0.13297921,0.095132105
0.021735966,0.020888904,0.12127513,0.10144345
0.031146869,0.023138426,0.14166623,0.095932566
0.029613763,0.025998471,0.13698941,0.09750041
0.021266103,0.019528123,0.122954965,0.09757571
0.023480728,0.017838156,0.13162428,0.09750481
0.022704557,0.020060396,0.12889385,0.096154876
0.02058509,0.018760523,0.12608546,0.094287984
0.024641365,0.016761415,0.13644278,0.09615962
0.017464638,0.01669294,0.12456465,0.094603874
0.01990883,0.017255567,0.13158417,0.09609874
0.02056238,0.017428806,0.1340465,0.095297605
0.017827928,0.015747521,0.12766594,0.09523617
0.021425277,0.016229182,0.13549656,0.09996043
0.016688332,0.020735838,0.12743104,0.093944095
0.017936215,0.024833385,0.1342392,0.09870177
0.02013141,0.0212609,0.13221586,0.09949702
0.01594606,0.016519519,0.1297273,0.10008385
0.017994344,0.02096773,0.13557166,0.097349554
0.023354307,0.017830677,0.13787061,0.097713925
0.014779344,0.021085948,0.13017422,0.09558624
0.020252392,0.016322799,0.12469882,0.09749888
0.027016789,0.016043508,0.14375246,0.096591696
0.020706952,0.017266698,0.12952888,0.09510376
0.020570979,0.0153356455,0.12701982,0.09805185
0.018152162,0.015582701,0.12472767,0.09494364
0.021795735,0.01767051,0.1375969,0.09781258
0.015823841,0.0142731685,0.13172895,0.09623034
0.015727937,0.013968813,0.12691867,0.09559896
0.018505871,0.016102947,0.14044875,0.09609947
0.03364964,0.014246601,0.14422661,0.09541235
0.018142551,0.013945894,0.12921256,0.09750619
0.016911387,0.017878696,0.12951165,0.09615755
0.016324982,0.014518001,0.12148821,0.09693828
0.01561749,0.012942872,0.13017523,0.09716633
0.014162809,0.017954871,0.13271314,0.09568909
0.0129915625,0.014079091,0.12885845,0.097421944
0.014512971,0.0144437915,0.13219792,0.0965332
0.01293762,0.022331253,0.13226718,0.0991283
0.014026448,0.013586228,0.13438195,0.096885085
0.012431666,0.014376664,0.13197494,0.095477074
0.012756601,0.016595265,0.13301575,0.09586981
0.012210786,0.013700649,0.13307565,0.099897414
0.011970326,0.016259478,0.13344246,0.09332037
0.012517616,0.014756425,0.13459969,0.09611799
0.011568978,0.0151285855,0.1334368,0.09975478
0.012324691,0.015651876,0.13505942,0.09673679
0.012123898,0.013767649,0.13558263,0.094830655
0.010993794,0.011800353,0.13452011,0.09777105
0.011482924,0.014409123,0.13579732,0.095325254
0.012323767,0.011605922,0.13734883,0.09508137
0.010611653,0.010918883,0.13579375,0.09554685
0.009948432,0.015482351,0.13532943,0.09589782
