"sizes_hd","dice","dice_std","hd_scipy","hd_scipy_std","hd_maurer","hd_maurer_std","hd_fenz","hd_fenz_std","hd_proposed","hd_proposed_std","sizes_hd_3D","dice_3D","dice_std_3D","hd_scipy_3D","hd_scipy_std_3D","hd_maurer_3D","hd_maurer_std_3D","hd_fenz_3D","hd_fenz_std_3D","hd_proposed_3D","hd_proposed_std_3D"
4.656964e6,1.1622781e7,1.9872059752586598e6,7.59266658e8,1.0751973381986842e7,2.28769032e8,1.0381626618620913e8,2.27474735e8,1.1801457544643736e8,1.136582e6,725061.2019657578,18769.0,6.878517e6,1.047247187225185e6,7.3056532e8,9.521956228142561e6,2.33354823e8,5.8869819925753735e6,3.77079351e8,3.228956939961652e8,827950.0,893630.3091395932
5.631129e6,1.4339798e7,1.2613305392020156e6,9.38966109e8,1.563722592581999e7,2.85187672e8,1.0654154217564644e7,2.61177739e8,1.6447673157725785e7,1.177399e6,803829.6235099393,22500.0,9.078167e6,931603.035919399,9.51555469e8,1.1947436571109949e7,3.02418239e8,7.930868734268153e6,1.7979606e9,9.057684645251263e8,1.027613e6,947200.983756755
6.697744e6,1.8656271e7,1.4649770688179047e6,1.116765044e9,1.8768044026801426e7,3.36032363e8,1.320834441026933e8,3.20269319e8,1.4257048959588552e7,1.214342e6,1.3227872992672608e6,26569.0,1.0960119e7,822515.0529826279,1.317630118e9,1.9059902058651112e7,4.248044e8,4.931044592055415e7,6.46832477e8,5.882584366724645e8,1.371582e6,846864.499240574
7.862416e6,2.0205682e7,3.491044039272143e6,1.318083136e9,1.074593488059987e7,3.94037119e8,1.1869664079792602e8,3.55862895e8,9.687945313271911e7,1.348962e6,796541.3895264391,30976.0,1.4201874e7,1.2337436430504497e6,1.580769797e9,2.7036331429372184e7,4.76294947e8,3.4077909944886314e6,9.92081404e8,5.486868692561466e8,1.680578e6,839690.2154025375
9.114361e6,2.329797e7,1.780937138913111e6,1.528267484e9,1.824500927090879e7,4.73019127e8,7.6742177734647365e6,4.34062008e8,1.1093335278455073e7,1.50844e6,699026.922433331,36100.0,2.2467944e7,1.5816843679752657e6,2.094540435e9,8.48111007178732e6,6.47345388e8,2.1592733803565476e7,1.260462313e9,5.0903574805952305e8,2.129473e6,721604.1189988522
1.0465225e7,2.7812367e7,2.641578459807701e6,1.83578062e9,7.83654357352298e6,5.20978925e8,6.92337964256473e6,4.98706438e8,1.7152918631871242e7,1.86868e6,643932.8824758776,41209.0,2.2610861e7,3.8494924136575195e6,2.501198194e9,1.058869777409857e7,8.09773723e8,1.4368045707042377e7,2.969358811e9,9.393329871415414e7,2.653614e6,762838.9170630686
1.19025e7,3.4009545e7,2.719938496971341e6,2.036038874e9,9.179782435041549e6,6.03299289e8,5.596599777420567e6,5.5564164e8,2.083856824635162e7,2.041877e6,675916.9509054383,46656.0,2.7448799e7,5.344367099330201e6,3.022192785e9,1.3510929684436966e6,8.89627053e8,1.135047741459382e7,2.527859759e9,5.888842068538233e8,3.040972e6,623993.5898803531
1.3432225e7,4.1757945e7,2.900478935783559e6,2.350373164e9,1.4865443011478411e7,6.94663285e8,3.028292418670954e7,6.31767916e8,1.3548783540634236e8,2.216091e6,576566.2317882711,52441.0,3.506497e7,4.978542433633814e6,3.663394882e9,3.504801631008808e6,1.248090269e9,2.7847779451125007e7,3.596691551e9,2.998983635033967e8,3.742375e6,605030.3433823921
1.5062161e7,4.1787044e7,4.730586934125844e6,2.646880671e9,8.939820219787002e6,7.84883762e8,2.966136816291335e7,7.19698448e8,1.4064979225027148e7,2.409547e6,560135.8282737653,59049.0,4.2023287e7,3.3706050222012787e6,4.388848799e9,2.287478274901845e7,1.561590481e9,7.869627939053551e6,4.584534107e9,4.7328408014759237e8,4.132768e6,664187.2330032378
1.6777216e7,5.0353568e7,4.019774577347384e6,4.693929527e9,4.332086654380225e7,1.632698775e9,2.275999555465468e7,1.414358977e9,2.366244867709565e7,2.717061e6,653870.0802724593,65536.0,4.772304e7,5.9078231683098115e6,9.957476138e9,NaN,2.180775269e9,2.21256469047286e7,5.738245465e9,NaN,4.682541e6,645072.8749020185
