epoch_idx,Dice_times,Dice_HD_Scipy_times,Dice_HD_Felzenszwalb_GPU_times,Dice_HD_Felzenszwalb_CPU_times
195,6.13E+09,8.77E+09,6.97E+09,7.06E+09
196,5.38E+09,8.64E+09,7.05E+09,6.56E+09
197,5.77E+09,7.85E+09,7.58E+09,5.93E+09
198,5.01E+09,8.58E+09,6.91E+09,6.64E+09
199,5.78E+09,9.25E+09,7.05E+09,6.30E+09
200,5.95E+09,8.20E+09,6.82E+09,6.38E+09
201,5.81E+09,8.72E+09,6.82E+09,6.03E+09
202,6.04E+09,8.03E+09,6.92E+09,7.08E+09
203,5.17E+09,8.87E+09,7.47E+09,7.70E+09
204,5.41E+09,8.17E+09,7.20E+09,6.54E+09
205,5.80E+09,8.32E+09,7.34E+09,6.88E+09
206,5.47E+09,8.13E+09,6.79E+09,6.60E+09
207,5.71E+09,8.27E+09,7.04E+09,6.61E+09
208,5.35E+09,8.13E+09,6.98E+09,5.95E+09
209,5.56E+09,8.60E+09,7.26E+09,6.28E+09
210,6.07E+09,7.71E+09,6.91E+09,7.02E+09
211,5.57E+09,8.62E+09,6.92E+09,6.29E+09
212,5.78E+09,8.61E+09,6.63E+09,6.42E+09
213,6.10E+09,8.43E+09,7.27E+09,6.47E+09
214,5.43E+09,8.77E+09,6.98E+09,7.04E+09
215,5.52E+09,8.17E+09,6.71E+09,6.81E+09
216,6.46E+09,9.52E+09,6.96E+09,6.88E+09
217,5.32E+09,7.97E+09,7.25E+09,6.09E+09
218,5.70E+09,8.08E+09,6.88E+09,6.45E+09
219,5.41E+09,8.29E+09,7.07E+09,6.04E+09
220,5.50E+09,7.69E+09,7.16E+09,6.32E+09
221,5.77E+09,8.62E+09,7.11E+09,6.17E+09
222,5.39E+09,8.40E+09,7.61E+09,6.73E+09
223,5.85E+09,7.98E+09,7.01E+09,6.45E+09
224,6.04E+09,8.34E+09,7.23E+09,6.08E+09
225,5.94E+09,8.51E+09,7.98E+09,6.63E+09
226,5.27E+09,7.96E+09,7.04E+09,6.53E+09
227,5.78E+09,7.80E+09,8.00E+09,6.17E+09
228,5.48E+09,8.12E+09,6.80E+09,6.52E+09
229,5.87E+09,7.98E+09,7.20E+09,6.83E+09
230,5.45E+09,9.27E+09,6.78E+09,6.19E+09
231,5.88E+09,8.45E+09,7.12E+09,6.35E+09
232,5.81E+09,7.93E+09,6.68E+09,6.43E+09
233,6.13E+09,8.61E+09,5.97E+09,6.35E+09
234,5.39E+09,8.17E+09,6.40E+09,6.37E+09
235,5.64E+09,9.03E+09,5.76E+09,6.26E+09
236,5.74E+09,8.41E+09,5.66E+09,7.22E+09
237,5.54E+09,8.74E+09,6.22E+09,6.59E+09
238,4.99E+09,8.30E+09,7.45E+09,6.52E+09
239,5.76E+09,8.33E+09,7.04E+09,6.36E+09
240,5.23E+09,8.84E+09,6.67E+09,6.57E+09
241,6.01E+09,8.66E+09,7.25E+09,6.37E+09
242,5.64E+09,7.93E+09,6.62E+09,7.30E+09
243,6.17E+09,9.22E+09,7.17E+09,5.86E+09
244,5.65E+09,9.39E+09,7.07E+09,6.39E+09
245,6.61E+09,8.69E+09,7.16E+09,6.27E+09
246,5.58E+09,8.78E+09,8.04E+09,6.18E+09
247,5.69E+09,8.38E+09,6.54E+09,5.92E+09
248,5.33E+09,8.42E+09,6.35E+09,6.76E+09
249,6.00E+09,8.30E+09,6.23E+09,6.56E+09
250,4.78E+09,9.04E+09,7.70E+09,6.76E+09
,,,,
,,,,
,,,,
,,,,
