Dice,Scipy,Felzenszwalb_cpu,Felzenszwalb_gpu
3042000000,5968000000,4644000000,5797000000
3497000000,5756000000,4418000000,5596000000
2778000000,5797000000,4371000000,5470000000
3364000000,5873000000,3924000000,5652000000
3202000000,5938000000,3996000000,5494000000
3555000000,5759000000,3512000000,5965000000
3449000000,5828000000,4093000000,5795000000
2467000000,6650000000,3489000000,5086000000
3287000000,5320000000,4009000000,5487000000
3122000000,6188000000,4019000000,5613000000
3017000000,5935000000,3981000000,5675000000
2968000000,5185000000,4012000000,5505000000
3071000000,6163000000,3934000000,5244000000
3106000000,6264000000,3947000000,5196000000
3082000000,5263000000,3962000000,5399000000
3150000000,5985000000,3915000000,5190000000
3148000000,6266000000,3960000000,5560000000
