,time_step_dice,time_step_dice_hd
158,181566300,1267170200
159,179115200,1297735800
160,19844688200,21049092400
161,437898200,1237063200
162,182788400,1214333800
163,178480300,1251192900
164,19714005300,21196322400
165,479114200,1226668300
166,182334700,1267007500
167,180677700,1275228100
168,19766444500,21210816500
169,422678900,1194681300
170,182358900,1182539200
171,178127600,1329076200
172,19840515100,21034025400
173,376189300,1259226200
174,181351700,1231737400
175,178987000,1261701700
176,19921970200,21191397200
177,403002200,1202684100
178,180984900,1233629900
179,179573900,1268438700
180,19720894100,20971641700
181,390539400,1212842300
182,179774700,1237440300
183,179809500,1277862100
184,19709758200,21110207800
185,417204500,1229576400
186,181674700,1190920600
187,178318300,1275530100
188,19676235900,21158500700
189,504901900,1228051600
190,185458300,1238847200
191,178352400,1291802400
192,19803175200,21236961100
193,395127400,1252911300
194,181746300,1245767600
195,180312300,1269691100
196,19865273300,21161841400
197,431674100,1234039200
198,182513700,1258922700
199,180115400,1411155000
200,20315884300,21687860300
201,500668700,1239496000
202,182872000,1280061600
203,179630500,1254026300
204,19856484000,21215440600
205,486614500,1255510400
206,182023200,1245770100
207,179451500,1326594700
208,19823817500,22410787800
209,380679900,1212109700
210,181093400,1376152800
211,179151600,1275367100
212,19781441700,21400488500
213,440275000,1263916000
214,182323200,1259167400
215,179666800,1340678300
216,19843853700,21260243900
217,428771000,1215618000
218,182308500,1215274500
219,179362300,1359238000
220,19812467000,21148955400
221,386560500,1205093700
222,180515000,1207465800
223,180170800,1276069000
224,20275044600,21112900300
225,496781500,1295448800
226,183708500,1185322600
227,179482800,1295466600
228,19690345200,21128656000
229,384953600,1212592500
230,181558600,1273638400
231,180446300,1280256000
232,19746846900,21206238800
233,369933600,1229270400
234,180747900,1205583100
235,179556800,1282650500
236,19895873900,21095898300
237,433668700,1217291600
238,182217900,1183339200
239,179027700,1249934000
240,19789155400,23282801800
241,513454200,1261521900
242,185710500,1378015300
243,178059900,1273407200
244,22501357000,21049800400
245,478621200,1211750700
246,179723900,1213051300
247,181407500,1301494500
248,19726059400,20971794300
249,480227300,1242384700
250,180550400,1320757900
251,178452700,1484974500
252,19888055400,20952755700
253,531729000,1204424300
254,184899100,1172884900
255,178395100,1274085600
256,19711146200,21077129400
257,501521800,1249879600
258,184143600,1209700400
259,177965700,1281508300
260,19847441600,21589844100
261,430110000,1295144600
262,181440500,1298401400
263,179719400,1254233400
264,19840170400,21085974300
265,434496300,1206497100
266,182209100,1208853300
267,180148900,1266149700
268,19783713100,20921459000
269,381055700,1214194700
270,184679200,1210312300
271,178682500,1246484200
272,19636855800,20915024900
273,479137600,1263726600
274,184123000,1199412800
275,179528300,1278524100
276,19808208200,21060154200
277,470660400,1217019800
278,180678400,1182241300
279,179115500,1261285900
280,19885857100,20930370800
281,364846400,1211992500
282,183919200,1176415600
283,180146700,1424077500
284,20319439000,21141532000
285,503294300,1204852500
286,185222000,1241189900
287,178406100,1251917900
288,19808435300,21016414400
289,432139400,1188062400
290,182434500,1229564600
291,178904800,1296887100
292,19629321100,21230370800
293,387793300,1207700400
294,180463400,1188534400
