,train_metric_epoch_hd,valid_metric_epoch_hd,all_metric_epoch_hd,train_hd_metric_epoch_dice_hd,valid_hd_metric_epoch_dice_hd,all_hd_metric_epoch_dice_hd
26,15.721232726151454,18.68789629479818,16.314565439880802,7.215164318632402,10.871471449487972,7.946425744803515
27,15.160647634651259,18.15729195018221,15.75997649775745,7.380746775148644,9.879574903527946,7.880512400824505
28,8.21622187676985,12.412642379249405,9.055505977265762,9.001356853091641,10.203266349362623,9.241738752345837
29,9.317012841870056,13.798378211913187,10.213285915878682,7.154761255434863,7.6369432443342165,7.251197653214734
30,7.03169220194099,10.166966335355722,7.658747028623937,6.116175058632621,6.7171265557910615,6.236365358064309
31,10.758374823225875,15.227751507232234,11.652250160027148,7.888969564317228,7.324351813636721,7.7760460141811265
32,inf,inf,inf,8.077318085081435,7.187738811209987,7.899402230307146
33,13.410330039812068,17.882511038245593,14.304766239498772,8.01249848900266,9.602452085046444,8.330489208211416
34,6.8031657828212815,12.163586567806409,7.875249939818306,7.344284033406114,9.150878917168683,7.705603010158629
35,8.68547418362703,17.258295163739035,10.40003837964943,8.376979974912398,8.44108405206586,8.389800790343092
36,7.210174606522346,8.643929156153076,7.496925516448492,8.069138811146345,10.263915835891313,8.508094216095339
37,12.606412757474942,17.086486794122052,13.502427564804364,8.40574544629569,9.73236683010603,8.671069723057759
38,8.351858035000957,17.158350226274173,10.1131564732556,7.6384390475114445,7.2521808165484805,7.561187401318851
39,7.616657363601144,15.718062699875453,9.236938430856005,8.49726364901358,9.58597209537238,8.71500533828534
40,7.5150540641700605,11.445145832886306,8.301072417913309,7.382445955178431,6.818383978953738,7.269633559933493
41,7.4217450810230385,12.490444755373558,8.435485015893143,5.39243456967214,6.361855638858263,5.586318783509364
42,8.650640909433543,12.158812155428665,9.352275158632567,8.229442161095912,10.631661298013086,8.709885988479346
43,8.593615419460662,12.087972082638057,9.292486752096142,7.799180092856962,6.7061656388140545,7.58057720204838
44,6.191711587439852,12.4901233951055,7.451393948972982,6.521461252132621,7.185033721043207,6.6541757459147375
45,6.883858537516414,12.517703547129981,8.010627539439128,7.2938511678094295,9.308127243238353,7.696706382895215
46,5.8637165737656725,16.96066175927222,8.083105610866983,6.771658508100817,5.378136775848481,6.49295416165035
47,7.866973942260545,17.50194656480256,9.793968466768948,7.255224499374884,7.046363555139529,7.213452310527813
48,7.346959287158979,10.04880395670246,7.887328221067676,6.6015407015542795,7.709957897251046,6.8232241406936325
49,6.148006365517693,12.419089520638797,7.402222996541914,6.497747242997253,5.500574084632999,6.298312611324402
50,7.266074861305944,17.98381438571366,9.409622766187487,7.120874714363307,6.9052041998948095,7.077740611469608
51,6.286378902950786,11.893141507525304,7.407731423865689,6.590877496214052,6.648965100320697,6.60249501703538
52,6.22836003195492,12.683591964516623,7.519406418467261,6.689119420213569,6.482305132488509,6.647756562668556
53,7.144998687612996,17.706490568730644,9.257297063836527,7.0795082662518265,8.041376963954235,7.271882005792309
54,7.016067988346441,17.807703480577285,9.17439508679261,6.493543965387058,6.712929490601392,6.537421070429924
55,7.631223622519611,16.77328705106491,9.45963630822867,6.484063948869916,6.9441265466345685,6.576076468422846
56,7.233451914388143,10.240566265133891,7.834874784537293,6.334720125128058,6.106479526246097,6.289072005351666
57,7.443328621707093,10.743311640440739,8.103325225453823,6.209457964053622,6.75857585517192,6.319281542277282
58,7.456704879275469,8.773040110812312,7.719971925582837,6.808242396891591,8.098114598008964,7.066216837115066
59,7.747729308510666,11.773260838673382,8.55283561454321,5.662562693075889,5.798543359370784,5.689758826334868
60,6.004196152510023,11.933321988661296,7.190021319740278,6.077080770329793,6.2348868481369655,6.108641985891228
61,7.42589513106032,9.012578769454446,7.743231858739145,6.580210211132757,7.256917936851342,6.715551756276474
62,9.29454482289585,13.708613770932498,10.177358612503179,5.795797005642368,6.377674420742801,5.9121724886624545
63,6.742336289417921,11.90417288646757,7.774703608827851,6.183142372923224,6.8436256190210285,6.315239022142785
64,7.3296309493268,11.79143211419256,8.221991182299952,5.989378078704345,5.924857868881922,5.9764740367398606
65,8.879059126098491,12.457367101216017,9.594720721121996,6.226216384422519,6.275970148331959,6.236167137204407
66,7.575281151358905,11.690659470413825,8.398356815169889,6.388177394104421,5.866093292504188,6.283760573784375
67,8.105970654936883,17.763228261576884,10.037422176264883,6.3129733976927715,6.493071024213404,6.3489929229968975
68,7.0094765346159775,11.326549963269247,7.872891220346631,5.774812942281881,5.6666394384986525,5.7531782415252355
69,8.866846479992203,11.962888870402814,9.486054958074325,5.990783155947439,6.003417785825495,5.993310081923051
70,10.544378669671678,18.34871703887952,12.105246343513247,7.004839402815112,7.658016774629892,7.135474877178067
71,5.301940558274467,11.591214214986907,6.559795289616955,6.160078721178915,4.880407764640902,5.904144529871313
72,8.713518252733572,11.017643335435022,9.174343269273862,4.860142827461854,11.101189472681773,6.108352156505838
73,5.13634178046538,12.155056373762031,6.54008469912471,6.110300429701187,6.5956121439102855,6.207362772543007
74,6.88452187512501,10.174416705488126,7.542500841197634,6.717449111470645,7.042888127331171,6.78253691464275
75,7.737114117785434,10.14316573644643,8.218324441517634,5.67650455100911,6.220087453121128,5.785221131431514
76,5.870381980032889,11.343570801908704,6.9650197444080515,5.554186752578454,10.637466330624548,6.570842668187673
77,6.980416409021389,11.31862316589919,7.84805776039695,5.673066788717312,10.74036078003623,6.686525586981096
78,7.97727163490982,9.61004235053097,8.30382577803405,6.161666991642526,6.195602671155957,6.168454127545212
79,6.234100029314873,12.097614501943935,7.406802923840685,5.201090533335063,10.197248694328529,6.200322165533756
80,6.436389119600015,13.157752480951741,7.780661791870361,6.333867968265718,6.004621050137779,6.26801858464013
81,5.266934424193336,10.68979504923516,6.3515065492017,5.356068769883007,10.04327128118991,6.293509272144387
82,7.405266348207615,10.89494369404785,8.103201817375663,5.185935975246855,10.516637637237576,6.252076307644999
83,11.27008587902929,15.701943507067917,12.156457404637015,6.582427141487197,5.4402871706512235,6.353999147320002
84,6.0704194632261865,17.340468938250417,8.324429358231033,4.83034194815846,10.83558916973103,6.031391392472974
85,5.096680049634578,11.40992749158309,6.359329538024281,5.149528918970475,10.266637637237576,6.1729506626238955
86,11.38172205038428,14.911015213091142,12.087580682925651,5.7340821765987045,5.323763377495764,5.652018416778117
87,5.505470915104674,11.945366950490211,6.793450122181781,4.833878215789412,10.83558916973103,6.034220406577735
88,5.749444162346592,12.647287092545115,7.129012748386296,5.260057645899953,10.854806562127356,6.3790074291454335
89,7.995918466543203,11.004256200581219,8.597586013350806,5.145547886224127,5.072809049219355,5.131000118823172
90,6.193993492652067,11.261543571179777,7.2075035083576084,5.175670367811411,5.82248769342277,5.305033832933683
91,4.281892839522113,11.575781592064645,5.74067059003062,5.468744927699289,10.55476798930956,6.485949540021343
92,5.145873873599232,11.24177394754447,6.36505388838828,4.884994291569835,10.995035783539736,6.107002589963815
93,4.078903073572726,11.542396695358091,5.571601797929799,5.019964704764556,5.798605991452835,5.175692962102212
94,7.2063426845960485,10.68213549481841,7.901501246640521,5.591430983471117,5.054720740456401,5.484088934868174
95,3.716353203510681,11.721890604689545,5.317460683746454,4.445375038974872,11.588738356279329,5.874047702435763
96,7.3379840805481145,13.585967807842575,8.587580826007008,4.39353272218866,11.63172888912291,5.8411719555755095
97,5.049528499477765,10.803925481189463,6.2004078958201045,5.584454485314,6.1093430735027106,5.689432202951742
98,5.512276236922286,11.210812844150635,6.651983558367957,3.5578795123364637,11.280788521127537,5.102461314094678
99,6.862882419894114,12.521075230793766,7.994520982074045,3.868720059059103,11.530122165361078,5.401000480319498
100,6.75319939827809,11.268972993608116,7.656354117344096,4.296630762252109,5.418171108930285,4.520938831587744
101,5.0455127012454835,8.262627547624366,5.68893567052126,4.297734987997162,5.984267967453775,4.635041583888484
102,3.4152933570860844,11.181233010400904,4.968481287749048,4.985203086724976,5.587745761425893,5.10571162166516
103,4.866144027878217,10.474299113696993,5.987775045041973,4.117618215096354,10.82675857487638,5.4594462870523595
104,3.4839340289021012,9.993504931694853,4.785848209460651,4.242099540680871,5.89483456115441,4.572646544775579
105,3.6136436232604257,11.535589086661943,5.198032715940729,4.111112646913934,11.267746625467375,5.542439442624622
106,3.928183007254742,10.205436504101321,5.183633706624057,3.670577877981667,11.318558716193204,5.2001740456239745
107,3.395671565800838,11.147452072157318,4.946027667072134,3.7847732208197766,11.336116104220885,5.295041797499998
108,3.4595872841229713,11.097705804107905,4.9872109881199576,4.105912646334492,5.902534241864082,4.465236965440409
109,3.585637382397106,10.903243960185971,5.049158697954879,3.3748708184748524,11.339551752708536,4.967807005321589
110,3.6092789245998396,11.147452072157318,5.116913554111335,3.4282936265636286,11.445565424454388,5.031747986141781
111,3.0676516755814425,11.184181099318051,4.690957560328764,4.310322433501978,6.607665487809235,4.769791044363429
